-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2022 
Location: Latitude  -2.9909   Longitude 104.7566 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 8.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                  MERRA-2 Surface Pressure (kPa) 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
WD10M               MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M               MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M               MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M_MAX           MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN           MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX           MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN           MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) 
WS10M_RANGE         MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE         MERRA-2 Wind Speed at 50 Meters Range (m/s) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,100.72,100.72,100.77,100.74,100.76,100.82,100.84,100.88,100.85,100.8,100.81,100.94,100.8
PS,2002,100.85,101.0,100.79,100.72,100.79,100.83,100.93,100.96,100.99,100.87,100.84,100.88,100.87
PS,2003,100.98,100.84,100.85,100.78,100.79,100.85,100.92,100.89,100.93,100.88,100.8,100.89,100.87
PS,2004,100.87,100.9,100.82,100.79,100.8,100.97,100.87,100.97,100.91,100.94,100.82,100.81,100.87
PS,2005,100.89,100.92,100.92,100.89,100.78,100.78,100.89,100.9,100.91,100.84,100.81,100.75,100.86
PS,2006,100.79,100.82,100.78,100.76,100.84,100.86,100.93,100.93,100.95,100.97,100.79,100.78,100.85
PS,2007,100.92,100.87,100.81,100.8,100.8,100.68,100.84,100.86,100.85,100.79,100.77,100.67,100.81
PS,2008,100.79,100.84,100.74,100.7,100.83,100.85,100.86,100.85,100.89,100.85,100.71,100.76,100.8
PS,2009,100.88,100.77,100.81,100.77,100.72,100.85,100.9,100.86,100.87,100.89,100.77,100.87,100.83
PS,2010,100.97,100.9,100.91,100.84,100.68,100.87,100.85,100.86,100.82,100.79,100.73,100.66,100.82
PS,2011,100.75,100.78,100.76,100.8,100.81,100.81,100.82,100.86,100.91,100.81,100.74,100.76,100.8
PS,2012,100.8,100.73,100.8,100.84,100.77,100.83,100.85,100.93,100.93,100.84,100.81,100.76,100.82
PS,2013,100.93,100.79,100.87,100.77,100.78,100.72,100.81,100.87,100.86,100.92,100.76,100.8,100.82
PS,2014,100.96,100.85,100.86,100.87,100.79,100.78,100.88,100.92,100.93,100.87,100.83,100.86,100.87
PS,2015,100.99,100.97,101.01,100.88,100.89,100.89,100.96,100.96,100.98,100.98,100.83,100.97,100.94
PS,2016,100.98,100.99,100.97,100.86,100.81,100.94,100.87,100.85,100.89,100.86,100.84,100.82,100.89
PS,2017,100.83,100.92,100.9,100.9,100.82,100.9,100.93,100.88,100.9,100.85,100.69,100.82,100.86
PS,2018,100.75,100.92,100.83,100.77,100.8,100.9,100.86,100.91,100.92,100.91,100.88,100.87,100.86
PS,2019,100.92,100.99,100.94,100.82,100.86,100.86,100.92,100.95,101.0,100.85,100.83,100.87,100.9
PS,2020,100.88,100.95,100.86,100.87,100.8,100.83,100.78,100.82,100.85,100.79,100.82,100.78,100.84
PS,2021,100.77,100.83,100.8,100.87,100.75,100.91,100.87,100.92,100.84,100.84,100.75,100.88,100.84
PS,2022,100.86,100.78,100.74,100.75,100.75,100.8,100.75,100.78,100.9,100.85,100.8,100.75,100.79
QV2M,2001,18.55,18.74,18.68,19.1,19.71,18.31,17.82,17.94,18.19,18.86,18.92,18.62,18.62
QV2M,2002,18.62,18.31,19.29,19.53,19.35,18.86,18.62,17.4,17.4,17.58,18.62,18.8,18.55
QV2M,2003,18.74,18.8,19.04,19.59,19.41,18.07,17.58,17.82,17.64,18.43,18.86,18.74,18.55
QV2M,2004,18.98,18.62,19.29,19.59,19.47,18.25,18.19,17.27,17.82,18.13,18.86,18.8,18.62
QV2M,2005,18.37,19.1,19.29,19.41,19.59,18.98,18.37,18.31,18.49,18.8,18.86,18.86,18.86
QV2M,2006,18.8,19.23,19.1,19.17,19.04,18.43,18.31,17.09,17.03,17.7,18.74,19.17,18.49
QV2M,2007,18.8,18.31,18.62,19.29,19.59,19.17,18.43,17.7,17.64,18.19,18.43,18.8,18.62
QV2M,2008,18.8,18.25,18.74,19.1,18.68,18.37,17.76,18.07,18.13,18.55,18.92,18.8,18.49
QV2M,2009,18.43,18.49,18.86,19.47,19.1,18.86,18.01,17.88,17.94,18.49,18.49,18.55,18.55
QV2M,2010,18.43,19.47,19.35,19.96,20.32,19.1,18.68,18.62,18.8,18.62,18.74,18.19,19.04
QV2M,2011,18.19,18.55,18.49,18.98,19.41,18.86,18.19,17.76,17.64,18.43,18.37,18.74,18.49
QV2M,2012,18.49,18.74,18.55,19.04,19.23,18.68,18.01,17.52,17.52,18.43,18.86,18.92,18.49
QV2M,2013,18.74,18.86,19.41,19.41,19.71,18.92,18.43,18.19,18.43,18.43,18.68,18.92,18.86
QV2M,2014,18.01,18.13,18.62,19.04,19.78,19.41,18.92,18.19,17.58,17.94,18.49,18.62,18.55
QV2M,2015,18.37,18.31,18.8,19.23,19.53,18.86,18.07,17.76,17.15,16.97,18.37,18.92,18.37
QV2M,2016,19.47,19.23,19.71,20.14,20.08,18.92,18.86,18.62,18.62,18.55,19.04,18.62,19.17
QV2M,2017,18.68,18.92,18.62,19.29,19.9,18.92,18.55,18.25,18.49,18.86,18.98,18.98,18.86
QV2M,2018,18.31,18.68,19.04,19.53,19.65,19.04,18.13,17.94,17.76,18.55,18.86,18.8,18.68
QV2M,2019,19.23,19.35,19.17,19.9,19.9,19.35,18.13,17.58,17.4,17.64,18.37,18.98,18.74
QV2M,2020,19.17,19.17,19.53,19.78,20.2,19.29,18.74,18.55,18.49,18.68,19.04,18.8,19.1
QV2M,2021,18.8,18.92,18.98,18.98,19.96,18.92,18.31,18.49,18.68,18.92,18.49,18.98,18.86
QV2M,2022,19.04,18.62,19.17,19.41,19.71,18.8,18.92,18.92,18.43,18.86,18.92,18.8,18.98
RH2M,2001,91.62,90.88,88.81,88.5,90.06,88.5,87.38,86.75,86.88,89.0,90.0,91.56,89.12
RH2M,2002,91.56,90.25,90.44,89.5,87.62,88.88,88.62,85.06,85.94,84.12,86.44,88.19,88.06
RH2M,2003,89.25,90.31,88.38,89.19,88.56,87.38,86.88,84.81,84.94,85.88,87.81,91.88,87.94
RH2M,2004,91.94,90.75,90.44,88.38,89.19,88.25,89.56,85.38,85.44,84.12,86.75,91.06,88.44
RH2M,2005,90.19,89.38,90.69,89.31,90.12,89.25,88.56,88.31,87.06,87.94,89.44,90.88,89.25
RH2M,2006,92.62,90.81,90.94,89.5,89.19,89.81,89.0,85.88,85.69,85.19,85.81,88.19,88.56
RH2M,2007,90.12,88.19,88.38,88.56,90.56,90.0,90.19,87.5,86.06,86.56,87.31,89.88,88.62
RH2M,2008,91.25,90.25,89.88,89.75,89.25,89.06,88.5,88.75,87.19,86.5,87.88,91.38,89.12
RH2M,2009,91.12,90.12,88.12,89.0,87.88,89.44,88.06,85.81,83.38,85.94,85.25,87.94,87.69
RH2M,2010,88.62,89.19,88.75,88.25,89.88,91.31,89.69,90.06,88.31,89.0,88.25,90.75,89.31
RH2M,2011,91.56,91.06,89.06,89.38,90.0,89.44,88.38,86.19,84.69,87.12,85.62,89.88,88.56
RH2M,2012,89.69,90.06,88.81,89.19,89.38,90.19,89.56,86.88,84.38,84.62,86.56,90.12,88.31
